note_id,client_id,tags,products_mentioned,brands_mentioned,locations,events,professions,budget_range,budget_min,budget_max,budget_confidence,budget_amount,client_status,allergies,allergy_severity,dietary,relationship_context,key_dates,occasions,urgency,event_date,days_until_event,urgency_level,products,entities,implicit_signals,risk_flags,processing_notes,profession,processing_tier,confidence,processing_time_ms,rgpd_flag,error,reasoning,model_name,cost,age,gender,tier,ID,from_cache,escalated_from,escalation_reason
,,"['vegetarian', 'art_lover', 'architect', 'travel_frequent', 'world_traveler', 'leather_goods']",[],[],[],[],[],4500,4500.0,4500.0,explicit,,vic,['pollen_allergy'],high,['vegetarian'],"{'gift_for': ['spouse'], 'shopping_with': ['alone']}",[],['birthday_gift'],this_week,2026-06-01,124.0,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['GR20 Corse'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}",['Client VIC avec des préférences claires pour les cuirs naturels et les couleurs terreuses. Préparation pour le GR20 indique un intérêt pour les produits durables et pratiques.'],architect,tier3,0.98,0.0,False,,Mme Girard est une cliente régulière avec un budget clairement défini et des préférences précises en termes de matériaux et de couleurs. Son allergie sévère au pollen nécessite une attention particulière.,gpt-4o,0.006185,,,3,CA_111,,2.0,high
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_112,True,,
,,[],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,0.6539821624755859,False,,,,0.0,,female,1,CA_113,True,,
,,"['shopping_with_spouse', 'gift_for_friend', 'pescatarian', 'wine_enthusiast', 'gift_for_family', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],"['Rioja', 'Borgoña', 'Napa', 'Toscana', 'Nueva York']",['ARCO'],[],20K-50K,20000.0,50000.0,inferred,,vip,['lactose_intolerance'],medium,['pescatarian'],"{'gift_for': ['friend', 'family'], 'shopping_with': ['spouse']}",[],[],,,,,[],{},{},{},[],wine_producer,tier2,0.85,0.0,False,,VIP clients with inferred budget range due to flexibility. Detailed lifestyle and dietary preferences. Multiple locations and events mentioned. Some ambiguity in specific products and occasions.,mistral-medium-latest,0.0,,,2,CA_114,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_115,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_116,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_117,True,,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.0564327239990234,False,,,,0.0,,female,1,CA_118,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_119,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_120,True,,
,,"['watches', 'wedding', 'leather_goods']",[],[],[],[],[],5K-10K,,,,5000.0,,['nickel_allergy'],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.95,1.508951187133789,False,,,,0.0,,female,1,CA_121,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_122,True,,
,,[],[],[],[],[],[],5K-10K,,,,6000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,0.7715225219726562,False,,,,0.0,,female,1,CA_123,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_124,True,,
,,['leather_goods'],[],[],[],[],[],5K-10K,,,,8000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8,0.6401538848876953,False,,,,0.0,,,1,CA_125,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_126,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_127,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_128,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_129,True,,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_130,True,,
,,['watches'],[],[],[],[],[],5K-10K,,,,7000.0,,['nickel_allergy'],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8500000000000001,1.4736652374267578,False,,,,0.0,,female,1,CA_131,True,,
,,"['gift_for_parent', 'pescatarian', 'latex_allergy', 'art_collector', 'travel_frequent']",[],[],['Europe'],['river cruise'],[],10K-20K,11250.0,22500.0,inferred,,regular,['latex_allergy'],medium,['pescatarian'],"{'gift_for': ['parent'], 'shopping_with': []}",[],['birthday'],,,,,[],{},{},{},[],,tier2,0.87,0.0,False,,Regular clients with clear professions and lifestyle details. Budget inferred from 'flexible' and combined budget mention. Allergy and dietary preferences explicitly stated. Travel and art interests noted. Some ambiguity in specific product interests and exact dates.,mistral-medium-latest,0.0,,,2,CA_132,True,,
,,[],[],[],[],[],[],5K-10K,,,,6000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,2.0084381103515625,False,,,,0.0,,female,1,CA_133,True,,
,,"['gift_for_child', 'gluten_free', 'gift_for_grandchild', 'shopping_with_spouse', 'pescatarian', 'jewelry', 'watches', 'leather_goods', 'travel_frequent']",[],[],"['Mediterráneo', 'Orient Express']",[],[],20K-50K,23000.0,46000.0,explicit,,vip,['gluten_intolerance'],medium,['pescatarian'],"{'gift_for': ['child', 'grandchild'], 'shopping_with': ['spouse']}",[],[],,,,,[],{},{},{},[],,tier2,0.92,0.0,False,,"VIP clients with explicit flexible budget, multiple gift occasions, specific lifestyle preferences, and dietary restrictions mentioned.",mistral-medium-latest,0.0,,,2,CA_134,True,,
,,[],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.6047954559326172,False,,,,0.0,,,1,CA_135,True,,
,,"['travel_luggage', 'ski', 'menswear', 'professional_athlete', 'pescatarian', 'outerwear', 'leather_goods']",[],[],[],[],[],6K-7K,6000.0,7000.0,explicit,,vic,['latex_allergy'],high,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': ['alone']}",[],['wedding_anniversary'],this_week,2026-05-01,93.0,,[],"{'products_mentioned': ['sacs nouveaux collection printemps'], 'brands_mentioned': [], 'locations': [], 'events': ['championnat France ski alpin masters']}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}","['Client régulier avec un réseau étendu dans le milieu sportif, ce qui peut offrir des opportunités de cross-sell.']",medical_specialist,tier3,0.98,0.0,False,,Le client est un chirurgien orthopédiste avec des besoins spécifiques pour des sacs professionnels. Il a une allergie au latex qui est cruciale pour sa profession. Son budget est clairement défini et il a un intérêt marqué pour des produits robustes et fonctionnels.,gpt-4o,0.0062775,,,3,CA_136,,2.0,high
,,"['ready_to_wear', 'jet_setter', 'sneakers', 'shoes', 'fitness', 'travel_frequent', 'world_traveler', 'sustainable_values', 'professional_athlete', 'womenswear', 'outerwear', 'influencer', 'lifestyle_content_creator']",[],[],[],[],[],10K-20K,11000.0,20000.0,explicit,,vic,['nut_allergy'],low,['vegan'],"{'gift_for': ['teenage_children'], 'shopping_with': ['advisor']}",[],"['birthday_gift', 'holiday_gift']",weekly_follow_up,,,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': [], 'events': ['Olympics', 'World Cups']}","{'purchase_intent': 'high', 'urgency_implicit': True, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}","['Client is a former professional athlete, now a sports commentator, requiring a wardrobe upgrade for a polished appearance on TV. She has a severe nut allergy and follows a plant-based diet. She is recently divorced and looking to reinvent her personal style.']",sports_commentator,tier3,0.98,0.0,False,,The client is a high-potential new client with a clear budget and specific needs for her new career. Her severe nut allergy requires immediate attention. Her active lifestyle and social media presence offer significant brand visibility opportunities.,gpt-4o,0.00644,,,3,CA_137,False,,
,,"['valentines_gift', 'travel_frequent', 'art_collector', 'creative_industry', 'leather_goods', 'fashion_industry']",[],[],[],[],[],10K-15K,10000.0,15000.0,explicit,,vip,['perfume_sensitivity'],low,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': ['alone']}",[],['valentines_gift'],this_week,2024-02-14,7.0,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': [], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': True, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': False, 'rgpd_sensitive': False, 'manual_review_required': False}","['The client is deeply embedded in the creative and luxury advertising industry, with a strong interest in unique designer collaborations and innovative design.']",creative_director,tier3,0.95,0.0,False,,The client is a VIP with a clear budget and specific needs for a Valentine's gift and spring collection renewal. The mention of the wife's perfume sensitivity and their pescatarian diet were noted for event considerations.,gpt-4o,0.006465,,,3,CA_138,,2.0,high
,,"['vegan', 'philanthropist', 'travel_luggage', 'leather_goods', 'travel_frequent']",[],[],"['África', 'Asia', 'América Latina', 'India']",[],[],5K-10K,5000.0,10000.0,explicit,,first_visit,['medication_allergy'],medium,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],legal_lawyer,tier2,0.85,0.0,False,,"Client profile with explicit budget, detailed lifestyle and professional information, and specific dietary and allergy notes. No specific products or brands mentioned, but clear preferences for ethical and sustainable options.",mistral-medium-latest,0.0,,,2,CA_139,True,,
,,"['ready_to_wear', 'gift_for_self', 'vegetarian', 'shopping_with_spouse', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Japan'],[],[],20K-50K,20000.0,50000.0,inferred,,vip,[],low,['vegetarian'],"{'gift_for': ['spouse'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,,,,[],{},{},{},[],entrepreneur_established,tier2,0.85,0.0,False,,"VIP clients with high budget flexibility, specific interests in design and architecture, and clear dietary preferences. No allergies mentioned. Travel and art collection interests noted. Budget inferred from VIP status and mentioned flexibility.",mistral-medium-latest,0.0,,,2,CA_140,True,,
,,"['running', 'travel_frequent', 'gastronome', 'pescatarian', 'leather_goods']",[],[],[],[],[],5K-6K,5000.0,5500.0,explicit,,potential,['nut_allergy'],high,['pescatarian'],"{'gift_for': [], 'shopping_with': ['partner']}",[],[],next_month,,,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['Asie'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': True, 'rgpd_sensitive': False, 'manual_review_required': False}","['La cliente est nouvelle et potentiellement très influente dans le monde culinaire, ce qui pourrait ouvrir des opportunités de marketing et de collaboration.']",chef,tier3,0.95,0.0,False,,"La cliente a un budget explicite et des préférences claires pour les cuirs de couleur terre. Elle a une allergie sévère aux fruits à coque, ce qui est critique dans son contexte professionnel. Elle est passionnée par l'artisanat culinaire et pourrait être intéressée par des produits de maroquinerie de haute qualité. Son réseau professionnel étendu dans le domaine gastronomique pourrait offrir des opportunités futures.",gpt-4o,0.0063825,,,3,CA_141,,2.0,high
,,"['gift_for_child', 'philanthropist', 'gift_for_grandchild', 'pescatarian', 'legal_corporate', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Danube'],['fundraising galas'],[],50K+,50000.0,,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['child', 'grandchild'], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],CEO,tier2,0.95,0.0,False,,VIP clients with high budget flexibility and multiple gift opportunities. Detailed lifestyle and professional information provided.,mistral-medium-latest,0.0,,,2,CA_142,True,,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.5528202056884766,False,,,,0.0,,female,1,CA_143,True,,
,,"['music_lover', 'jet_setter', 'luxury_cars', 'travel_frequent', 'vegan', 'producer']",[],[],[],[],[],14K-20K,14000.0,20000.0,inferred_strong,,vic,['pollen_allergy'],high,['vegan'],"{'gift_for': ['self'], 'shopping_with': ['partner']}",[],['career_milestone'],this_month,,,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['California'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': False, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': False, 'rgpd_sensitive': False, 'manual_review_required': False}","['Le client a une forte présence sur les réseaux sociaux, ce qui pourrait être exploité pour des collaborations ou des partenariats.']",producer,tier3,0.95,0.0,False,,Le client est un producteur musical de haut niveau avec un budget flexible et un intérêt marqué pour les produits de luxe et l'innovation. Son style de vie et ses connexions dans l'industrie musicale offrent des opportunités de visibilité et de références.,gpt-4o,0.00646,,,3,CA_144,,2.0,high
,,['leather_goods'],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8,1.8491744995117188,False,,,,0.0,,,1,CA_145,True,,
,,"['vegetarian', 'accessories', 'art_collector', 'leather_goods', 'fashion_industry']",[],[],[],[],[],10K-20K,11000.0,20000.0,inferred_strong,,vip,['textile_dye_allergy'],high,['vegetarian'],"{'gift_for': ['team'], 'shopping_with': ['partner']}",[],[],next_month,2024-02-01,30.0,,[],"{'products_mentioned': [], 'brands_mentioned': [], 'locations': ['fashion weeks', 'capitals'], 'events': []}","{'purchase_intent': 'high', 'urgency_implicit': True, 'sentiment': 'enthusiastic', 'objections': []}","{'allergy_emergency': False, 'rgpd_sensitive': False, 'manual_review_required': False}","[""Le client est très impliqué dans l'industrie de la mode et recherche des pièces innovantes et avant-gardistes.""]",director,tier3,0.95,0.0,False,,"Le client est un directeur artistique dans la haute couture, avec un réseau étendu dans l'industrie de la mode. Son budget est flexible, et il est intéressé par des pièces exclusives et des collaborations uniques. Son allergie aux colorants textiles est importante mais ne nécessite pas d'urgence vitale.",gpt-4o,0.006294999999999999,,,3,CA_146,,2.0,high
,,"['gift_for_child', 'vegetarian', 'shopping_with_spouse', 'travel_luggage', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Peru'],['expedition celebration'],[],20K-50K,18000.0,54000.0,inferred,,vip,[],low,['vegetarian'],"{'gift_for': ['spouse', 'child'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],this_month,2026-03-01,30.0,,[],{},{},{},[],academic_anthropology_archaeology,tier2,0.95,0.0,False,,"VIP clients with high combined budget and specific preferences. Detailed professional and personal context provided, including travel plans and family information. Clear dietary preferences and shopping context.",mistral-medium-latest,0.0,,,2,CA_147,True,,
,,[],[],[],[],[],[],5K-10K,,,,8000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.7244815826416016,False,,,,0.0,,female,1,CA_148,True,,
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.3017654418945312,False,,,,0.0,,female,1,CA_149,True,,
,,"['shopping_with_spouse', 'pescatarian', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],[],[],[],20K-50K,20000.0,50000.0,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,,,,[],{},{},{},[],entrepreneur_established,tier2,0.85,0.0,False,,"VIP clients with a flexible budget mentioned, specific professions, and dietary preferences. No specific products or brands mentioned, but general interests in classic and modern styles. No allergies reported. The context suggests a high confidence level due to detailed client background and clear budget flexibility.",mistral-medium-latest,0.0,,,2,CA_150,True,,
