note_id,client_id,tags,products_mentioned,brands_mentioned,locations,events,professions,budget_range,budget_min,budget_max,budget_confidence,budget_amount,client_status,allergies,allergy_severity,dietary,relationship_context,key_dates,occasions,urgency,event_date,days_until_event,urgency_level,products,entities,implicit_signals,risk_flags,processing_notes,profession,processing_tier,confidence,processing_time_ms,rgpd_flag,error,reasoning,model_name,cost,age,gender,tier,ID,from_cache,escalation_failed
,,"['leather_goods', 'vegetarian', 'pollen_allergy', 'art_collector', 'travel_frequent']",['sacs travail'],[],['Corse'],[],[],2K-5K,3600.0,5400.0,explicit,,regular,['pollen_allergy'],high,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],architecte_paysagiste,tier2,0.85,0.0,False,,"Budget explicite, profession et statut client clairs, allergie sévère détectée, régime végétarien, pas d'urgence ni de date précise",mistral-medium-latest,0.0,,,2,CA_111,False,'coroutine' object is not iterable
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_112,True,
,,[],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,0.6539821624755859,False,,,,0.0,,female,1,CA_113,True,
,,"['shopping_with_spouse', 'gift_for_friend', 'pescatarian', 'wine_enthusiast', 'gift_for_family', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],"['Rioja', 'Borgoña', 'Napa', 'Toscana', 'Nueva York']",['ARCO'],[],20K-50K,20000.0,50000.0,inferred,,vip,['lactose_intolerance'],medium,['pescatarian'],"{'gift_for': ['friend', 'family'], 'shopping_with': ['spouse']}",[],[],,,,,[],{},{},{},[],wine_producer,tier2,0.85,0.0,False,,VIP clients with inferred budget range due to flexibility. Detailed lifestyle and dietary preferences. Multiple locations and events mentioned. Some ambiguity in specific products and occasions.,mistral-medium-latest,0.0,,,2,CA_114,False,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_115,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_116,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_117,True,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.0564327239990234,False,,,,0.0,,female,1,CA_118,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_119,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_120,True,
,,"['watches', 'wedding', 'leather_goods']",[],[],[],[],[],5K-10K,,,,5000.0,,['nickel_allergy'],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.95,1.508951187133789,False,,,,0.0,,female,1,CA_121,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_122,True,
,,[],[],[],[],[],[],5K-10K,,,,6000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,0.7715225219726562,False,,,,0.0,,female,1,CA_123,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_124,True,
,,['leather_goods'],[],[],[],[],[],5K-10K,,,,8000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8,0.6401538848876953,False,,,,0.0,,,1,CA_125,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_126,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_127,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_128,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_129,True,
,,[],[],[],[],[],[],,,,,,,[],low,[],{},[],[],,,,,[],{},{},{},[],,tier2,0.0,0.0,False,,,,0.0,,,2,CA_130,True,
,,['watches'],[],[],[],[],[],5K-10K,,,,7000.0,,['nickel_allergy'],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8500000000000001,1.4736652374267578,False,,,,0.0,,female,1,CA_131,False,
,,"['gift_for_parent', 'pescatarian', 'latex_allergy', 'art_collector', 'travel_frequent']",[],[],['Europe'],['river cruise'],[],10K-20K,11250.0,22500.0,inferred,,regular,['latex_allergy'],medium,['pescatarian'],"{'gift_for': ['parent'], 'shopping_with': []}",[],['birthday'],,,,,[],{},{},{},[],,tier2,0.87,0.0,False,,Regular clients with clear professions and lifestyle details. Budget inferred from 'flexible' and combined budget mention. Allergy and dietary preferences explicitly stated. Travel and art interests noted. Some ambiguity in specific product interests and exact dates.,mistral-medium-latest,0.0,,,2,CA_132,False,
,,[],[],[],[],[],[],5K-10K,,,,6000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,2.0084381103515625,False,,,,0.0,,female,1,CA_133,False,
,,"['gift_for_child', 'gluten_free', 'gift_for_grandchild', 'shopping_with_spouse', 'pescatarian', 'jewelry', 'watches', 'leather_goods', 'travel_frequent']",[],[],"['Mediterráneo', 'Orient Express']",[],[],20K-50K,23000.0,46000.0,explicit,,vip,['gluten_intolerance'],medium,['pescatarian'],"{'gift_for': ['child', 'grandchild'], 'shopping_with': ['spouse']}",[],[],,,,,[],{},{},{},[],,tier2,0.92,0.0,False,,"VIP clients with explicit flexible budget, multiple gift occasions, specific lifestyle preferences, and dietary restrictions mentioned.",mistral-medium-latest,0.0,,,2,CA_134,False,
,,[],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.6047954559326172,False,,,,0.0,,,1,CA_135,False,
,,"['latex_allergy', 'pescatarian', 'leather_goods']",['sacs nouveaux collection printemps'],[],[],['championnat France'],[],5K-10K,6500.0,6500.0,explicit,,regular,['latex_allergy'],high,['pescatarian'],"{'gift_for': [], 'shopping_with': []}",[],['wedding_anniversary'],,2026-05-01,92.0,,[],{},{},{},[],medical_surgeon,tier2,0.92,0.0,False,,"Extraction complète: profession, budget explicite, allergie, régime alimentaire, occasion, et contexte familial détaillé",mistral-medium-latest,0.0,,,2,CA_136,False,'coroutine' object is not iterable
,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,'coroutine' object is not iterable,,,,,,3,CA_137,,
,,"['ready_to_wear', 'valentines_gift', 'pescatarian', 'gift_for_spouse', 'leather_goods', 'travel_frequent']",[],[],[],[],[],10K-20K,10000.0,20000.0,explicit,,vip,['fragrance_sensitivity'],high,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': []}",[],['valentines'],,2024-02-14,,,[],{},{},{},[],creative_designer,tier2,0.85,0.0,False,,VIP client with explicit budget and occasion. Allergies and dietary preferences mentioned. Some details inferred from context.,mistral-medium-latest,0.0,,,2,CA_138,False,'coroutine' object is not iterable
,,"['vegan', 'philanthropist', 'travel_luggage', 'leather_goods', 'travel_frequent']",[],[],"['África', 'Asia', 'América Latina', 'India']",[],[],5K-10K,5000.0,10000.0,explicit,,first_visit,['medication_allergy'],medium,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],legal_lawyer,tier2,0.85,0.0,False,,"Client profile with explicit budget, detailed lifestyle and professional information, and specific dietary and allergy notes. No specific products or brands mentioned, but clear preferences for ethical and sustainable options.",mistral-medium-latest,0.0,,,2,CA_139,False,
,,"['ready_to_wear', 'gift_for_self', 'vegetarian', 'shopping_with_spouse', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Japan'],[],[],20K-50K,20000.0,50000.0,inferred,,vip,[],low,['vegetarian'],"{'gift_for': ['spouse'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,,,,[],{},{},{},[],entrepreneur_established,tier2,0.85,0.0,False,,"VIP clients with high budget flexibility, specific interests in design and architecture, and clear dietary preferences. No allergies mentioned. Travel and art collection interests noted. Budget inferred from VIP status and mentioned flexibility.",mistral-medium-latest,0.0,,,2,CA_140,False,
,,"['ready_to_wear', 'nut_allergy', 'pescatarian', 'shopping_with_spouse', 'travel_luggage', 'leather_goods', 'art_collector', 'travel_frequent']",['sac élégant usage quotidien'],[],['Asie'],[],[],5K-10K,5000.0,5500.0,explicit,,first_visit,['nut_allergy'],high,['pescatarian'],"{'gift_for': [], 'shopping_with': ['spouse']}",[],[],,,,,[],{},{},{},[],cheffe_restaurant,tier2,0.85,0.0,False,,"Budget explicite, profession et allergie sévère détectées, contexte culinaire détaillé mais pas d'occasion ou urgence spécifique",mistral-medium-latest,0.0,,,2,CA_141,False,'coroutine' object is not iterable
,,"['gift_for_child', 'philanthropist', 'gift_for_grandchild', 'pescatarian', 'legal_corporate', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Danube'],['fundraising galas'],[],50K+,50000.0,,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['child', 'grandchild'], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],CEO,tier2,0.95,0.0,False,,VIP clients with high budget flexibility and multiple gift opportunities. Detailed lifestyle and professional information provided.,mistral-medium-latest,0.0,,,2,CA_142,False,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.5528202056884766,False,,,,0.0,,female,1,CA_143,False,
,,"['travel_frequent', 'vegan', 'art_collector', 'gift_for_self']",[],[],['California'],[],[],20K-50K,20000.0,50000.0,inferred,,first_visit,['pollen_allergy'],high,['vegan'],"{'gift_for': ['self'], 'shopping_with': []}",[],['celebration'],,,,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,Client potentiel avec budget inféré basé sur statut et mention de 14K. Allergie sévère détectée. Informations partielles sur les produits et les occasions.,mistral-medium-latest,0.0,,,2,CA_144,False,'coroutine' object is not iterable
,,['leather_goods'],[],[],[],[],[],10K-20K,,,,9000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8,1.8491744995117188,False,,,,0.0,,,1,CA_145,False,
,,"['vegetarian', 'gift_for_colleague', 'art_collector', 'travel_frequent']",[],[],"['Paris', 'Milan', 'New York', 'London']",['Fashion Week'],[],10K-20K,11000.0,22000.0,explicit,,vip,['textile_dye_allergy'],high,['vegetarian'],"{'gift_for': ['colleague'], 'shopping_with': []}",[],[],,2024-02-01,,,[],{},{},{},[],creative_designer,tier2,0.92,0.0,False,,"VIP client with explicit budget, clear profession, and specific lifestyle details. Allergy severity inferred as high due to professional context. Multiple relevant tags extracted from detailed client description.",mistral-medium-latest,0.0,,,2,CA_146,False,'coroutine' object is not iterable
,,"['gift_for_child', 'vegetarian', 'shopping_with_spouse', 'travel_luggage', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Peru'],['expedition celebration'],[],20K-50K,18000.0,54000.0,inferred,,vip,[],low,['vegetarian'],"{'gift_for': ['spouse', 'child'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],this_month,2026-03-01,30.0,,[],{},{},{},[],academic_anthropology_archaeology,tier2,0.95,0.0,False,,"VIP clients with high combined budget and specific preferences. Detailed professional and personal context provided, including travel plans and family information. Clear dietary preferences and shopping context.",mistral-medium-latest,0.0,,,2,CA_147,False,
,,[],[],[],[],[],[],5K-10K,,,,8000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.7244815826416016,False,,,,0.0,,female,1,CA_148,False,
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.3017654418945312,False,,,,0.0,,female,1,CA_149,False,
,,"['shopping_with_spouse', 'pescatarian', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],[],[],[],20K-50K,20000.0,50000.0,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,,,,[],{},{},{},[],entrepreneur_established,tier2,0.85,0.0,False,,"VIP clients with a flexible budget mentioned, specific professions, and dietary preferences. No specific products or brands mentioned, but general interests in classic and modern styles. No allergies reported. The context suggests a high confidence level due to detailed client background and clear budget flexibility.",mistral-medium-latest,0.0,,,2,CA_150,False,
,,"['ready_to_wear', 'gift_for_self', 'vegetarian', 'shopping_with_spouse', 'leather_goods']",['Keepall'],[],[],['mariage'],[],5K-10K,4000.0,10000.0,inferred,,first_visit,['pollen_allergy'],high,['vegetarian'],"{'gift_for': ['self'], 'shopping_with': ['spouse']}",[],['wedding'],,2024-09-01,215.0,,[],{},{},{},[],legal_lawyer,tier2,0.85,0.0,False,,Client status inferred as first_visit due to 'nouvelle cliente'. Budget inferred from initial mention and potential high status. Allergy severity set to high due to 'sévère'. Wedding occasion inferred from 'mariage prévu septembre'.,mistral-medium-latest,0.0,,,2,CA_151,False,'coroutine' object is not iterable
,,"['ready_to_wear', 'gift_for_self', 'gluten_free', 'vegan', 'shopping_with_spouse', 'art_collector', 'travel_frequent']",[],[],"['Cannes', 'Berlin', 'Venice', 'Sundance']",['Cannes Film Festival'],[],20K-50K,20000.0,50000.0,inferred,,first_visit,['gluten_allergy'],high,['vegan'],"{'gift_for': ['self'], 'shopping_with': ['spouse']}",[],['celebration'],today,,,,[],{},{},{},[],entrepreneur_established,tier2,0.85,0.0,False,,Client status inferred as first_visit with high potential. Budget inferred as very open and discussed at 16K. Allergy severity marked as high due to 'severe gluten allergy critical'. Locations and events extracted from travel and festival mentions.,mistral-medium-latest,0.0,,,2,CA_152,False,'coroutine' object is not iterable
,,"['gift_for_child', 'nickel_allergy', 'pescatarian', 'gift_for_spouse', 'art_collector', 'travel_frequent']",[],[],[],['preview estate privata'],[],10K-20K,10000.0,20000.0,explicit,,vip,['nickel_allergy'],high,['pescatarian'],"{'gift_for': ['spouse', 'child'], 'shopping_with': []}",[],['wedding_anniversary'],,,,,[],{},{},{},[],legal_corporate,tier2,0.85,0.0,False,,"VIP client with explicit flexible budget, specific dietary and allergy information, and clear family context. Some details like exact products and specific events are missing.",mistral-medium-latest,0.0,,,2,CA_153,False,'coroutine' object is not iterable
,,"['ready_to_wear', 'vegan', 'art_collector', 'travel_frequent']",[],[],"['Dubái', 'Miami', 'Singapur']",[],[],50K+,50000.0,,inferred,,first_visit,[],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],entrepreneur_startup,tier2,0.85,0.0,False,,"Client potentiel haut de gamme avec budget inféré très élevé, style de vie et profession clairement identifiés, régime alimentaire spécifié, pas d'allergies mentionnées, pas de produits spécifiques mentionnés.",mistral-medium-latest,0.0,,,2,CA_154,False,
,,"['gift_for_colleague', 'leather_goods']",[],[],[],[],[],10K-20K,8800.0,13200.0,explicit,,regular,[],low,['vegetarian'],"{'gift_for': ['colleague'], 'shopping_with': []}",[],[],,2024-03-01,30.0,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,Budget explicite + statut client régulier + contexte professionnel détaillé,mistral-medium-latest,0.0,,,2,CA_155,False,
,,"['vegetarian', 'shopping_with_spouse', 'nut_allergy', 'travel_luggage', 'gift_for_spouse']",['sac voyage professionnel'],[],[],['mariage'],[],5K-10K,4800.0,7200.0,explicit,,first_visit,['nut_allergy'],high,['vegetarian'],"{'gift_for': ['spouse'], 'shopping_with': ['spouse']}",[],['wedding'],,,,,[],{},{},{},[],tech_executive,tier2,0.85,0.0,False,,"Budget explicite, profession et allergie clairement mentionnées, contexte de mariage futur et besoins professionnels identifiés",mistral-medium-latest,0.0,,,2,CA_156,False,'coroutine' object is not iterable
,,"['gift_for_child', 'gift_for_parent', 'shopping_with_spouse', 'pescatarian', 'gift_for_friend', 'gift_for_spouse', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],[],"['private preview', 'anniversary celebration']",[],20K-50K,20000.0,60000.0,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['spouse', 'child', 'parent', 'friend'], 'shopping_with': ['spouse']}",[],['wedding_anniversary'],,2024-04-01,30.0,,[],{},{},{},[],,tier2,0.85,0.0,False,,"VIP clients with a flexible combined budget of 21K, inferred to be in the range of 20K-50K. They have specific tastes and preferences, with no allergies mentioned. The occasion is a major anniversary celebration, and they are planning to shop for various family members. The event date is inferred to be around April for the private preview.",mistral-medium-latest,0.0,,,2,CA_157,False,
,,['leather_goods'],[],[],[],[],[],5K-10K,,,,5000.0,,[],low,[],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.8,0.8335113525390625,False,,,,0.0,,female,1,CA_158,False,
,,[],[],[],[],[],[],,,,,,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.6,1.0616779327392578,False,,,,0.0,,female,1,CA_159,False,
,,"['gift_for_child', 'ready_to_wear', 'vegetarian', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Japan'],[],[],20K-50K,20000.0,50000.0,inferred,,vic,[],low,['vegetarian'],"{'gift_for': ['child'], 'shopping_with': []}",[],['wedding'],,,,,[],{},{},{},[],,tier2,0.85,0.0,False,,VIC status with high budget flexibility inferred from context. Multiple professions and lifestyle tags extracted. No specific products or brands mentioned. Dietary preferences and lack of allergies noted. Event date and urgency not specified.,mistral-medium-latest,0.0,,,2,CA_160,False,
,,"['shopping_with_spouse', 'pescatarian', 'wine_enthusiast', 'leather_goods', 'travel_frequent', 'shoes']",['sac élégant usage professionnel'],[],"['Bourgogne', 'Toscane', 'Napa']",[],[],5K-10K,5000.0,6000.0,explicit,,first_visit,['sulfite_allergy'],medium,['pescatarian'],"{'gift_for': [], 'shopping_with': ['spouse']}",[],[],,2024-04-01,,,[],{},{},{},[],sommelière_chef_de_cave,tier2,0.85,0.0,False,,"Budget explicite avec ajustement pour 'un tantinet', profession spécifique, allergie mentionnée avec sévérité moyenne, contexte professionnel et personnel détaillé",mistral-medium-latest,0.0,,,2,CA_161,False,
,,"['vegetarian', 'gift_for_children', 'gift_for_grandchildren', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],[],['family reunion'],[],20K-50K,20000.0,60000.0,inferred,,vip,['shellfish_allergy'],high,['vegetarian'],"{'gift_for': ['children', 'grandchildren'], 'shopping_with': []}",[],['birthday'],,,,,[],{},{},{},[],medical_physician,tier2,0.95,0.0,False,,VIP clients with high lifetime value and explicit mention of flexible budget. Detailed personal and professional backgrounds provided. Multiple gift occasions and dietary preferences mentioned. Allergies and family events clearly stated.,mistral-medium-latest,0.0,,,2,CA_162,False,'coroutine' object is not iterable
,,"['vegan', 'travel_luggage', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],"['Africa', 'Middle East', 'Asia', 'India']",[],[],5K-10K,5000.0,7000.0,explicit,,first_visit,[],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],legal_lawyer,tier2,0.85,0.0,False,,"Budget explicite, profession claire, régime vegan, pas de date ou d'urgence mentionnées, pas de produits spécifiques mentionnés",mistral-medium-latest,0.0,,,2,CA_163,False,
,,"['ready_to_wear', 'vegetarian', 'jewelry', 'travel_luggage', 'watches', 'gift_for_colleague', 'travel_frequent', 'shoes']",[],[],[],['private_preview'],[],20K-50K,19500.0,52000.0,inferred,,vip,[],low,['vegetarian'],"{'gift_for': ['colleague'], 'shopping_with': []}",[],['retirement'],,2024-05,,,[],{},{},{},[],music_conductor,tier2,0.85,0.0,False,,VIP client with inferred budget range due to flexibility mentioned. Specific dietary preference and profession identified. Urgency and exact products not specified.,mistral-medium-latest,0.0,,,2,CA_164,False,
,,"['nickel_allergy', 'ready_to_wear', 'pescatarian', 'travel_luggage', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],"['Paris', 'Mailand', 'New York', 'London']",['Fashion Weeks'],[],10K-20K,10000.0,20000.0,explicit,,regular,['nickel_allergy'],medium,['pescatarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],Chefredakteurin,tier2,0.85,0.0,False,,Budget explicite + profil client détaillé + allergie mentionnée + lifestyle tags multiples,mistral-medium-latest,0.0,,,2,CA_165,False,
,,"['vegetarian', 'shopping_with_spouse', 'travel_luggage', 'leather_goods', 'art_collector', 'travel_frequent']",['sac travail'],[],[],[],[],5K-10K,4000.0,6000.0,explicit,,first_visit,['dust_allergy'],high,['vegetarian'],"{'gift_for': [], 'shopping_with': ['spouse']}",[],[],,2024-05-01,,,[],{},{},{},[],architect,tier2,0.85,0.0,False,,"Budget explicite, profession et allergie détectées, contexte client détaillé mais pas d'urgence ou d'occasion spécifique",mistral-medium-latest,0.0,,,2,CA_166,False,'coroutine' object is not iterable
,,"['gift_for_child', 'ready_to_wear', 'gift_for_grandchild', 'pescatarian', 'jewelry', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],['Antarctica'],['Antarctica expedition'],[],50K+,50000.0,,inferred,,vip,[],low,['pescatarian'],"{'gift_for': ['child', 'grandchild'], 'shopping_with': []}",[],['family_celebration'],,,,,[],{},{},{},[],retired_corporate_executives,tier2,0.85,0.0,False,,VIP clients with significant liquidity event and very flexible budget. Extensive travel and lifestyle details provided. Specific dietary restrictions and family context mentioned.,mistral-medium-latest,0.0,,,2,CA_167,False,
,,[],[],[],[],[],[],5K-10K,,,,7000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.8913745880126953,False,,,,0.0,,female,1,CA_168,False,
,,"['gift_for_child', 'ready_to_wear', 'vegan', 'latex_allergy', 'gift_for_spouse', 'art_collector', 'travel_frequent']",[],[],[],['presentación privada exclusiva'],[],10K-20K,12000.0,24000.0,inferred,,vip,['latex_allergy'],high,['vegan'],"{'gift_for': ['spouse', 'child'], 'shopping_with': []}",[],['wedding_anniversary'],,2024-04-01,30.0,,[],{},{},{},[],legal_corporate,tier2,0.92,0.0,False,,VIP client with clear budget range and specific dietary and allergy information. Event date inferred from the mention of calling in April for a private presentation.,mistral-medium-latest,0.0,,,2,CA_169,False,'coroutine' object is not iterable
,,"['gift_for_parent', 'pescatarian', 'leather_goods', 'art_collector', 'travel_frequent']",[],[],[],[],[],20K-50K,17000.0,51000.0,inferred,,regular,[],low,['pescatarian'],"{'gift_for': ['parent'], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier2,0.85,0.0,False,,Budget inféré basé sur le statut de client régulier et la mention de flexibilité. Professions et régimes alimentaires clairement mentionnés. Pas de date spécifique ou d'urgence détectée.,mistral-medium-latest,0.0,,,2,CA_170,False,
,,"['watches', 'leather_goods']",[],[],[],[],[],50K+,,,,550000.0,,[],low,['vegan'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.85,2.0210742950439453,False,,,,0.0,,female,1,CA_171,False,
,,"['lactose_intolerance', 'pescatarian', 'gift_for_spouse', 'art_collector', 'travel_frequent']",[],[],[],"['private preview', 'anniversary party']",[],30K-60K,30000.0,60000.0,inferred,,vip,['lactose_intolerant'],medium,['pescatarian'],"{'gift_for': ['spouse'], 'shopping_with': []}",[],['wedding_anniversary'],,2026-04-01,61.0,,[],{},{},{},[],medical_surgeon,tier2,0.95,0.0,False,,VIP clients with explicit combined budget and clear occasion. Detailed professional and personal context provided. Specific dietary and allergy information mentioned. Event date inferred from 'April' reference.,mistral-medium-latest,0.0,,,2,CA_172,False,
,,[],[],[],[],[],[],5K-10K,,,,6000.0,,[],low,['vegetarian'],"{'gift_for': [], 'shopping_with': []}",[],[],,,,,[],{},{},{},[],,tier1,0.75,1.583099365234375,False,,,,0.0,,female,1,CA_173,False,
